"All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads."																																																																																						
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola;NA	Fluviicola	1.38	0.81	0.65	1.87	1.06	1.08	2.12	3.62	1.23	2.18	2.57	3.03	0.42	7.28	0.32	1.25	1.69	0.37	0.28	1.03	0.21	1.74	0.2	1.14	0.13	0.16	0.22	0.2	0.11	0.39	0.51	0.71	0.04	0.92	1.49	0.94	0.21	0.62	1.4	1.03	1.99	0.35	0.43	1.41	1.18	2.9	1.36	0.93	1.22	2.03	1.89	1.04	1.11	2.36	2.56	0.37	2.16	0.31	7.06	1.81	0.38	0.67	1.16	0.82	0.83	1.37	1.4	1.57	0.33	0.46	0.96	4.28	3.18	5.2	1.69	2.81	1.24	1.04	1.42	2.2	3.44	1.7	2.78	1.4	2.53
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;NA;NA	Crocinitomicaceae					0.01			0.39					0.21					0.08									0.04		0.05						0.01				0.04	0.04	0.04				0.02	0.01			0.05	0.04	0.03					0.46		0.04			0.17	0.02	0.03	0.01	0.02	0.05		0.02						0.03			0.02								
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Cryomorpha;NA	Cryomorpha											0.08	0.03					0.02					0.03																																0.04																															
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NA;NA	Cryomorphaceae	1.12	0.1	0.54	1.16	3.23	1.84	1.37	2.16	2.14	3.09	4.42	3.69	1.57	10.28	1.35	4.05	1.97	2.03	10.84	3	4.15	3.59	3.6	3.24	4.12	5.13	2.97	2.34	3.83	16.14	13.52	9.66	16.99	11.85	2.18	3.16	4.12	4	5.96	3.22	5	4.22	5.37	2.98	1.33	1.38	1.23	0.85	3.09	1.04	2.01	2.05	2.34	4.1	3.13	1.37	3.44	1.75	10.9	1.99	1.44	3.45	3.71	4.04	3.92	3.85	2.55	2.43	1.15	1.68	2.92	1.84	1.62	1.31	4.99	1.99	2.02	3.22	2.78	2.27	2.76	1.88	1.86	2.9	2.08
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group;NA	NS10 marine group				0.12		0.05	0.38	0.26	0.04	0.44	0.28	0.48	0.08	2.15	0.36	0.35	0.33			0.16	0.06	0.08	0.28	1.02	0.01	0.07	0.19	0.07	0.34			0.03			0.12		0.57	0.52		0.02	0.71	0.6	0.35			0.02		0.03		0.09	0.05	0.12	0.25	0.29	0.05	0.12	0.51	0.3	2.61		0.09	0.13	0.09	0.46		0.82		0.01	0.24	0.01	0.86		0.02			0.02	0.04						0.03		D
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Owenweeksia;NA	Owenweeksia																															0.13																								0.11																														
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Vicingus;NA	Vicingus	0.17		0.01	0.02	0.29			0.21	0.29	0.31	0.14	0.64	0.78	0.05	0.19	0.9	0.19	0.8	0.44	0.13	0.29	0.45	0.37	1.24	0.41		0.64	0.1	0.87	0.35	0.09	0.42	0.57	0.2	0.7	1.22	0.09	0.15	0.3	0.28	0.74	0.22	0.19	0.09	0.23	0.25	0.11		0.54	0.59	1.13	0.21	0.37	0.1	0.6	1.03	0.4	0.16	0.13	0.15	0.56	0.65	0.38	0.4	0.89	1.42	0.69	0.61	0.56	0.43	0.84	0.47	0.63	1.11	2.93	2.42	1.26	2.05	1.76	1.65	1.72	1.15	0.96	1.39	1.35
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Algibacter;NA	Algibacter					0.39			0.01	0.02	0.06	0.06	0.03	0.42		0.03	0.07	0.07	0.06	0.05	0.04				0.02								0.02			0.01	0.04			0.02					1.96	0.09	0.17	0.44		0.41	0.15	0.19	0.01	0.03	0.02	0.17	0.7	0.08	0.03		0.22	0.17	0.02	0.02	0.03	0.04	0.09	0.05	0.04	0.07		0.03	0.21	0.31	0.21	0.13	0.09	0.31	0.09	0.04	0.05	0.19	0.16	0.09	0.04	0.09
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aquibacter;NA	Aquibacter													0.1																																																																								0.01
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Arcticiflavibacter;NA	Arcticiflavibacter																0.06																															0.15																																						
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aurantivirga;NA	Aurantivirga	10.3	5.23	6.42	4.27	2.68	10.02	8.47	2.11	1.6	2.96	1.82	2.88	0.62	14.54	2.38	4.38	2.13	0.75	1.16	3.1	0.35	2.65	0.6	2.12	0.32	0.88	1.28	1.12	1.88	9.28	11.72	11.22	0.72	3.32	1.52	0.74	0.32	0.47	7.51	0.49	1.13	0.33	0.31	2.39	1.09	1.27	0.86	7.41	2.16	1.19	0.88	1.66	2.68	1.83	3.36	0.48	4.04	2.75	12.76	2.08	0.88	1.46	2.66	3.85	2.63	2.21	2.37	1.49	1.75	1.32	2.56	8.7	5.63	3.09	1.65	2.29	1.49	1.85	2	1.99	4.22	2.84	5.55	1.87	3.01
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Dokdonia;NA	Dokdonia				0.02	0.03				0.04		0.02	0.05		0.02		0.03				0.05										0.11	0.14	0.2		0.01			0.01		0.04								0.02		0.19		0.02	0.11			0.07		0.08	0.02		0.04				0.02		0.03	0.01		0.01			0.19	0.07	0.05		0.06		0.02	0.01	0.03	0.09	0.04	0.13	0.02	0.03
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Eudoraea;NA	Eudoraea													0.07						0.02																																					0.16					0.09	0.01	0.01					0.02																	
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavicella;NA	Flavicella																																																																				0.01				0.09			0.14										
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;NA	Flavobacterium																										0.03		0.02																							0.04								0.03						0.02															0.01			0.01		0.02
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Formosa;NA	Formosa	4.51	4.4	4.85	3.96	0.3	2.95	4.17	1.72	0.44	0.17	0.38	1.96	0.49	2.28	0.91	0.52	0.67	0.72	0.38	0.67	0.48	1.75	0.99	0.75	1.24	0.62	3.05	1.23	0.84	6.76	6.46	4.59	5.47	3.75	3.03	0.94	2.58	1.95	4.77	1.65	2.74	2.1	2.45	0.6	0.24	0.19		4.59	0.11		1.07	0.48	0.29	0.48	0.42	0.3	0.28	1.1	2.71	0.62	0.59	0.65	1.04	0.81	0.62	0.59	0.3	0.22	0.61	0.62	1.1	0.13	0.16	0.55	0.32	0.19	1.1	0.35	0.38	0.31	0.62	0.14	0.17	0.17	0.12
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gilvibacter;NA	Gilvibacter									0.02																																																																												
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella;NA	Leeuwenhoekiella																																															0.01																																						
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Lutibacter;NA	Lutibacter					0.07				0.08	0.11	0.21		0.22		0.1	0.25	0.05	0.04						0.02									0.03			0.04									0.15	0.1	0.18		0.84	0.41	0.05	0.08	0.32	0.03	0.11	0.39	0.28	0.02		0.23	0.09		0.01	0.05		0.22	0.16	0.05	0.08	0.01	0.02	0.02	0.11	0.7	0.23	0.07		0.01	0.01	0.03	0.17	0.06	0.05	0.01	0.16
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Lutimonas;NA	Lutimonas					0.02			0.01	0.08	0.09	0.09	0.02	0.59		0.17	0.34	0.04	0.1	0.07					0.02					0.02							0.02								0.04	0.04	0.04	0.17		0.3	0.2	0.25	0.1	0.14	0.15	0.31	1.32	0.41	0.07		0.39	0.31	0.08	0.03	0.25	0.09	0.23	0.28	0.03	0.11	0.05	0.02	0.03		0.24	0.03	0.06	0.08	0.02	0.05		0.05	0.06			0.03
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maribacter;NA	Maribacter											0.02		0.11		0.05	0.02												0.01																0.07	0.05		0.11		0.07	0.05						0.34				0.11	0.07					0.02	0.01			0.02		0.02	0.02	0.02								0.02			0.01
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maritimimonas;NA	Maritimimonas					0.07						0.02		0.1			0.06	0.04	0.03		0.01																								0.02	0.07		0.14		0.12	0.12	0.13		0.02	0.03	0.06	0.29		0.02		0.19	0.09		0.04	0.03	0.03	0.03	0.13	0.02	0.03					0.03			0.02					0.01	0.02		
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NA;NA	Flavobacteriaceae	0.17	0.36		0.25	1.83	0.41	1.01	1.32	1.11	1.04	3.24	1.48	1.31	1.12	1.35	1.46	1.03	1	1.38	2.53	0.79	2.56	1.37	3.53	0.21	0.27	1.37	1.16	1.44		0.31	0.21		0.58	1.9	2.71	2.19	3.74	0.62	2.79	1.75	2.81	2.12	2.1	1.38	1.58	1.66	0.06	3.06	0.96	3.08	1.56	1.43	1.78	1.82	1.23	1.86	0.94	0.58	1.51	1.21	1.88	2.38	1.86	1.37	4.18	1.8	1.53	3.48	1.83	2.82	3.63	6.34	5.21	1.98	4.58	4.58	4.04	4.16	3.44	4.69	3.42	3.2	2.32	2.83
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS2b marine group;NA	NS2b marine group	0.44	0.73	0.57	0.64	0.1	0.35	0.43	0.35	0.54	0.26	0.25	0.45	0.29		0.82	0.17	0.6	0.69	0.69	0.24	0.45	0.19	0.33	0.09	0.22	0.52	0.26	0.71		0.24	0.16		0.46	1.01	0.89	0.5	0.53	0.54	0.45	0.77	0.58	0.75	0.47			0.22	0.15	0.6	0.25	0.18	0.32	0.3		0.17		0.29	0.25	1.24		0.68	0.57	0.55	0.19	0.16	0.17	0.07	0.14	0.1	0.11	0.33	0.26	0.56	0.42	0.52	0.19	0.41	0.36	0.47	0.27	0.34	0.36	0.54	0.46	0.39	0.75
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS3a marine group;NA	NS3a marine group								0.54	0.03			0.07	0.16			0.18	0.05	0.19			0.37	0.25	0.07	1.48			0.51	0.4	0.35		0.23	0.59	0.01	0.29	0.6	0.17	0.28		0.16	0.05	0.51		0.21								0.06				0.08		0.05			0.02		0.2		0.33		0.97	0.05	0.02	0.35	0.14	0.05	0.09		0.19		0.08	0.65			0.1	0.24		0.13		0.05
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;NA	NS4 marine group	1.04	1.44	1.57	2.9	2.25	0.51	3.11	2.35	3.08	2.67	2.05	2.36	2.53	1.37	3.11	2.59	3.07	4.04	2.26	2.72	2.62	1.73	3.1	1.9	0.62	2.45	1.57	2.95	2.09	0.57	0.78	0.77	0.44	2.24	2.81	2.09	1.56	2.73	1.19	2.43	3.14	1.61	1.6	1.73	2.59	2.45	2.34	1.11	2.05	3.31	2.12	2.99	2.39	3.75	2.66	2.14	2.71	3.48	1.62	3.68	3.36	3.3	2.12	2.44	2.29	2.01	0.72	1.67	3.31	2.71	2.08	2.56	2.94	2.17	1.4	2.49	2.73	1.86	1.58	1.74	2.38	1.8	2.19	1.4	1.82
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;NA	NS5 marine group	8.64	9.46	9.35	7.53	3.51	8.39	7	6.21	4.66	2.54	4.3	7.37	6.15	3.19	5.37	4.01	6.86	7.5	13.74	4.71	8.43	2.99	7.27	4.97	13.48	11.89	6.97	11.39	5.82	4.38	4.62	7.91	16.97	8.23	7.3	8.17	13.45	11.13	5.99	8.46	10.39	11.23	10.94	2.22	5.46	3.87	3.87	8.97	2.03	3.29	4.99	4.92	4.67	5.36	3.74	6.56	3.92	5.61	3.1	4.95	6.85	6.91	5.06	2.89	4.11	3.76	6.32	3.52	3.88	5.76	4.65	1.82	1.87	3.95	7.94	2.94	7.61	4.9	4.68	4.04	3.58	2.74	2.42	5.23	3.44
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter;NA	Polaribacter	0.43	1.18	1.48	0.91	4.55	3.31	1.94	1.12	0.79	2.24	0.23	1.78	0.21	2.05	0.53	2.03	0.32	0.21	0.4	0.41	0.3	1.99	0.35	2.51	2.52	0.26	0.24	0.26	0.71	4.36	5.79	6.3	2.84	1.12	2.82	2.28	0.84	2.08	3.46	0.94	4.59	0.83	1.11	2.13	4.98	5.3	3.02	3.2	3.22	0.71	1.77	0.65	1.39	0.38	0.83	0.16	1.68	0.62	1.84	0.19	0.11	0.42	0.54	1.69	2.67	2.11	2.4	0.49	1.35	0.45	2.18	7	9.19	8.53	2.61	4.83	3.93	4.47	4.71	3.11	8.77	3.15	5.18	3.01	3.34
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Pseudofulvibacter;NA	Pseudofulvibacter		0.1	0.1	0.05		0.08		0.2	0.09		0.02		0.02	0.23						0.13		0.04																									0.06				0.1				0.06	0.03			0.19	0.05				0.14	0.04		0.04	0.71	0.01	0.44															
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Psychroserpens;NA	Psychroserpens																																																				0.01																																	
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;NA	Tenacibaculum																				0.04																																															0.01																		
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;NA	Ulvibacter	0.94	0.85	0.68	0.89	1.31	1.52	1.6	3.23	0.99	1.11	2.45	2.01	0.85	4.91	0.96	1.88	1.19	0.85	0.75	3.32	0.63	4.02	1	2.74	0.53	0.62	1.25	1.13	1.35	3.87	5.36	6.84	1.18	5.62	1.97	0.62	0.95	1.54	4.51	0.88	2.66	1.21	0.96	3.03	0.67	1.23	0.88	0.97	1.09	0.59	0.99	0.92	0.88	1.9	1.25	0.59	2.33	0.77	3.49	1.61	1.1	1.08	3.14	2.61	1.24	2.5	2.19	0.81	1.21	0.77	1.12	3.32	2.7	1.41	0.49	1.1	1.17	0.61	0.82	0.73	2.22	0.98	1.7	0.77	0.89
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;NA	Winogradskyella									0.03		0.09	0.06	0.1		0.06	0.13		0.04		0.23		0.48	0.02				0.44	0.05	0.26																				0.04				0.29	0.29	0.24		0.38				0.05	0.06	0.28		0.02		0.06	0.05	0.09											0.01			0.02		
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS7 marine group;NA;NA	NS7 marine group		0.84	0.29	0.69	0.2	0.53	0.27	0.04	0.28	0.35	0.53	0.39	0.54	0.75	0.25	0.39	0.41	0.67	1.7	0.28	1.47	0.19	1.89	0.07	1	1.4	0.82	0.74	0.42	0.54	0.26	0.57	5.25	1.48	0.44	0.59	0.98	1.01	1.16	0.58	1.8	1.19	0.89		0.34	0.45		0.96	0.31	0.42	0.47	0.3	0.75	0.4	0.09	0.45		0.44	0.67	0.48	0.45	0.66	0.6	0.07	0.29		0.43	0.72	0.8	0.48	0.7	0.57	0.39		0.48	0.29	0.78	0.28	0.26	0.12	0.36	0.24	0.59	0.42	0.35
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;NA;NA	NS9 marine group	1.72	2.79	1.81	3.02	8.12	2.38	3.58	7.71	8.7	5.61	9.01	4.92	3.52	6.62	11.77	6.49	9.79	4.45	4.47	5.54	7.91	8.56	9.06	3.41	3.45	4.84	5.72	3.97	7.02	0.55	0.95	1.73	0.33	3.51	3.4	2.47	1.44	2.1	1.46	2.6	3.02	3.14	1.99	4.79	2.78	4.12	3.7	2.77	4.74	6.56	4.15	6.63	5.29	7.83	7.04	2.47	6	11.78	5.95	7.36	3.86	5.69	6.18	7.06	7.87	4.01	3.79	4.66	2.88	4.47	5.79	4.18	4.57	5.69	7.09	2.89	2.82	3.32	4.14	4.34	4.2	4.14	5.03	5.07	4.29
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Schleiferiaceae;Schleiferia;NA	Schleiferia							0.11		0.01	0.24	0.08	0.03	0.01	0.23		0.15	0.04			0.13												0.05				0.01																	0.37		0.34		0.23	0.02	0.34	0.1			0.13	0.02							0.02									0.03					
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;KD3_93;NA;NA	KD3_93																																												1.01										0.01																								0.1							
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;NA;NA	Lentimicrobiaceae											0.02		0.05		0.03																																																				0.02																		
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11_12 marine group;NA;NA	NS11_12 marine group	0.1			0.15	3.27		0.14	0.13	1.28	0.22	0.56	0.55	0.33		1.29	0.34	0.4	0.53	0.93	0.65	0.36	2.05	0.32	0.83	0.22	0.04	0.19	0.1	0.49	0.18	0.31	0.4	0.16		0.21	0.56	0.06	0.11	0.24	0.07	0.45	0.11			1.31	1.48	1.42		1.68	0.48	0.71	1.29	0.61	0.54	0.46	0.54	0.28	0.79		0.36	0.65	0.88	1.11	0.67	2.52	1.11	1.04	1.05	0.53	0.71	0.09	1.16	1.88	0.76	1.29	0.8	0.98	1.2	1.28	0.96	1.44	1.27	1.25	0.9	1.21
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;ST_12K33;NA;NA	ST_12K33																																												0.02																	0.01																								
Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;IheB3_7;NA	IheB3_7																		0.01																																																																			
Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;PHOS_HE36;NA;NA	PHOS_HE36									0.02				0.01																																							0.04	0.03	0.01							0.04	0.02			0.02	0.02							0.03					D		0.01					0.02
Bacteria;Bacteroidota;Ignavibacteria;SJA_28;NA;NA;NA	SJA_28													0.02																																											0.01																													
Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;NA;NA	Rhodothermaceae													0.03			0.03																																																					0.01												0.02				
	<<<Bdellovibrionota>>>																																																																																					
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Halobacteriovorax;NA	Halobacteriovorax					0.14				0.01																																			0.15		0.1	0.14		0.1									0.01																0.02								0.04			0.03
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;NA;NA	Bacteriovoracaceae																0.04																																								0.11										0.02				0.02															
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter;NA	Peredibacter													0.04			0.02		0.01																																		0.01						0.02								0.04		0.02				0.09	0.17			0.14		0.05			0.02	0.05	0.07	0.05	0.04
Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;NA	OM27 clade		0.06	0.04	0.05	1.07	0.11	0.05	0.43	0.66	0.68	0.79	0.09	0.92	0.32	0.79	0.59	1	0.69	0.17	0.17	0.13	0.69	0.17	0.2		0.01	0.66	0.02	0.6						0.06	0.21	0.01			0.15	0.25		0.03	0.32	0.04	0.48	0.64	0.13	1.83	1.04	0.75	0.61	0.41	0.66	0.64	0.41	1.71	0.67	0.28	0.49	0.68	0.42	0.29	0.18	0.17	0.32	0.2	0.77	0.53	0.48	0.76	0.56	0.37	0.3	0.06	1.1	0.22	0.13	0.25	0.27	0.66	0.46	0.82	0.42	0.46
Bacteria;Bdellovibrionota;Oligoflexia;053A03_B_DI_P58;NA;NA;NA	053A03_B_DI_P58									0.12						0.05	0.02																																	0.03			0.17					0.02	0.04										0.02		0.01								D		0.01	0.01				
Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;NA;NA	Oligoflexaceae													0.03																																										0.02														0.04	0.03															
Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;Pseudobacteriovorax;NA	Pseudobacteriovorax																																																																								0.02													
	<<<Calditrichota>>>																																																																																					
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;NA;NA	Calditrichaceae						0.04						0.01																			0.05	0.03			0.02				0.05												0.01														0.01																				
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;SM23_31;NA	SM23_31																																																														0.02																							
	<<<Campylobacterota>>>																																																																																					
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;NA;NA	Arcobacteraceae																																											0.03																					0.01									0.01		0.02										
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Sulfurimonas;NA	Sulfurimonas																		0.02																																																																			
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum;NA	Sulfurovum																																															0.04																																						
	<<<Chloroflexi>>>																																																																																					
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA;NA	Anaerolineaceae																																																																									0.01												
Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA;NA	SAR202 clade					0.02				0.15				0.04		0.01		0.01	0.02					0.01																										0.01			0.2						0.06		0.02	0.03	0.03						0.02		0.1		0.02						0.03	0.07				0.02	0.05	0.04
Bacteria;Chloroflexi;Dehalococcoidia;vadinBA26;NA;NA;NA	vadinBA26												0.02			0.06		0.25				0.01						0.02	0.01			0.21	0.14	0.54		0.05	0.04		0.08	0.19	0.06	0.06	0.07	0.07					0.25																																	0.02				
	<<<Cyanobacteria>>>																																																																																					
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Microcystaceae;Atelocyanobacterium _UCYN_A_;NA	Atelocyanobacterium _UCYN_A_	0.58	0.02	0.39			1.24						0.07															0.08		0.12																																																								
Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902;NA	Synechococcus CC9902	1.5	5.08	4.43	6.94		0.54		6.34	0.94	0.07	2.4	1.06	1.32		0.53	0.06	3	0.88	0.21	0.17	0.05	1.81	0.48		0.06	0.11	4.96	0.38	2.11					0.68	1.84	2.85	2.02	0.22	2.84	6.35	2.34	3.06	1.79					4.23			0.14	1.1	0.14	1.28	0.37	1.05		0.88		2.33	1.75	1.29		0.13	0.03		0.05	0.17		0.07	0.72							0.72	0.54		0.1	0.31		0.12	0.17
Bacteria;Cyanobacteria;Sericytochromatia;NA;NA;NA;NA	Sericytochromatia									0.01																																																	0.02																											
	<<<Dadabacteria>>>																																																																																					
Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;NA;NA;NA	Dadabacteriales									0.03	0.04						0.02																																		0.01		0.02						0.01				0.02			0.02											0.01						0.01			
	<<<Desulfobacterota>>>																																																																																					
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfoconvexum;NA	Desulfoconvexum													0.03																																																																								
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;NA;NA	Desulfobacteraceae											0.03		0.02		0.03		0.02																																0.16						0.05	0.12				0.04				0.02	0.02	0.07	0.05								0.01		0.01	D				0.01			
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcina;NA	Desulfosarcina																																																								0.12							0.02				0.07																		
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;NA;NA	Desulfosarcinaceae																																																																				0.01																	
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;SEEP_SRB1;NA	SEEP_SRB1													0.18		0.05			0.03																											0.16	0.11	0.1		0.16	0.26		0.05				0.21	0.07	0.07		0.02	0.06		0.01	0.1	0.02	0.07	0.06						0.07	0.03		0.08	0.06					0.04	0.04		
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Sva0081 sediment group;NA	Sva0081 sediment group										0.09	0.04		0.17		0.06			0.03																											0.44	0.19	0.26		0.39	0.12	0.04	0.04	0.21	0.03		0.44				0.14					0.11	0.08	0.1	0.06	0.04	0.05			0.03	0.06		0.01								0.05	0.01
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;NA;NA	Desulfobulbaceae													0.36					0.1																											0.24	0.27	0.42		0.63	0.22	0.06	0.07		0.03		0.52					0.16				0.1	0.14	0.33	0.13	0.13	0.04			0.19	0.35	0.09						0.14	0.06	0.08	0.04	0.14
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulforhopalus;NA	Desulforhopalus					0.02								0.28		0.01	0.17							0.01																						0.04	0.07			0.5		0.02	0.06		0.01		0.2		0.04		0.13	0.12						0.07	0.04					0.04	0.37	0.03			0.01		0.01	0.01	0.02			0.01
